#timestamp	handle	words	tpr	tnr	fpr	fnr	acc	pre	spe	lang	language
1537963467	facd49a	527510	0.546	0.454	0.0	0.0	1.0	1.0	0.66	se	North Sámi
1537963467	facd49a	30319	1.0	0.0	0.0	0.0	1.0	1.0	1.66	si_LK	Sinhala
1537963467	facd49a	246224	1.0	0.0	0.0	0.0	1.0	1.0	1.58	sk_SK	Slovak
1537963467	facd49a	246856	1.0	0.0	0.0	0.0	1.0	1.0	1.27	sl_SI	Slovene
1537963467	facd49a	229505	1.0	0.0	0.0	0.0	1.0	1.0	1.21	sq_AL	Albanian
1537963467	facd49a	222281	1.0	0.0	0.0	0.0	1.0	1.0	1.49	sr_Latn_RS	Serbian (Latin script)
1537963467	facd49a	222288	1.0	0.0	0.0	0.0	1.0	1.0	1.73	sr_RS	Serbian (Cyrillic script)
1537963467	facd49a	18969	1.0	0.0	0.0	0.0	1.0	1.0	1.24	ss_ZA	Swazi
1537963467	facd49a	6456	1.0	0.0	0.0	0.0	1.0	1.0	1.19	st_ZA	Southern Sotho
1537963467	facd49a	151274	0.977	0.023	0.0	0.0	1.0	1.0	1.15	sv_FI	Finland Swedish
1537963467	facd49a	247754	0.968	0.032	0.0	0.0	1.0	1.0	1.0	sv_SE	Swedish
1537963467	facd49a	67900	1.0	0.0	0.0	0.0	1.0	1.0	1.14	sw_TZ	Swahili
1537963467	facd49a	16365	1.0	0.0	0.0	0.0	1.0	1.0	1.24	tl	Tagalog
1537963467	facd49a	10865	1.0	0.0	0.0	0.0	1.0	1.0	1.23	tn_ZA	Tswana
1537963467	facd49a	28354	1.0	0.0	0.0	0.0	1.0	1.0	1.23	ts_ZA	Tsonga
1537963467	facd49a	1486067	0.878	0.122	0.0	0.0	1.0	1.0	1.51	uk_UA	Ukrainian
1537963467	facd49a	97000	1.0	0.0	0.0	0.0	1.0	1.0	1.51	uz_UZ	Uzbek
1537963467	facd49a	8785	1.0	0.0	0.0	0.0	1.0	1.0	1.72	ve_ZA	Venda
1537963467	facd49a	6631	1.0	0.0	0.0	0.0	1.0	1.0	2.06	vi_VN	Vietnamese
1537963467	facd49a	18121	1.0	0.0	0.0	0.0	1.0	1.0	1.26	xh_ZA	Xhosa
1537963467	facd49a	73194	1.0	0.0	0.0	0.0	1.0	1.0	1.11	zu_ZA	Zulu
