#timestamp	handle	words	tpr	tnr	fpr	fnr	acc	pre	spe	lang	language
1539117379	d19aab5	125470	1.0	0.0	0.0	0.0	1.0	1.0	1.21	af_ZA	Afrikaans
1539117379	d19aab5	20535	1.0	0.0	0.0	0.0	1.0	1.0	1.1	an_ES	Aragonese
1539117379	d19aab5	108362	1.0	0.0	0.0	0.0	1.0	1.0	1.66	ar	Arabic
1539117379	d19aab5	81516	1.0	0.0	0.0	0.0	1.0	1.0	1.62	be_BY	Belarusian
1539117379	d19aab5	867136	1.0	0.0	0.0	0.0	1.0	1.0	1.26	bg_BG	Bulgarian
1539117379	d19aab5	110750	1.0	0.0	0.0	0.0	1.0	1.0	1.71	bn_BD	Bengali
1539117379	d19aab5	376	0.918	0.082	0.0	0.0	1.0	1.0	1.79	bo	Classical Tibetan
1539117379	d19aab5	464631	1.0	0.0	0.0	0.0	1.0	1.0	1.64	br_FR	Breton
1539117379	d19aab5	30442	1.0	0.0	0.0	0.0	1.0	1.0	1.15	bs_BA	Bosnian
1539117379	d19aab5	655679	0.968	0.004	0.0	0.0	0.972	1.0	0.88	ca	Catalan
1539117379	d19aab5	655778	0.968	0.004	0.0	0.0	0.972	1.0	0.91	ca_ES-valencia	Valencian
1539117379	d19aab5	165085	1.0	0.0	0.0	0.0	1.0	1.0	1.26	cs_CZ	Czech
1539117379	d19aab5	390462	0.942	0.052	0.004	0.004	0.994	0.996	0.64	da_DK	Danish
1539117379	d19aab5	71983	0.7	0.3	0.0	0.0	1.0	1.0	0.47	de_AT	Austrian German
1539117379	d19aab5	250806	0.677	0.323	0.0	0.0	1.0	1.0	0.44	de_AT_frami	Austrian German
1539117379	d19aab5	381038	0.943	0.057	0.0	0.0	1.0	1.0	0.63	de_CH	Swiss German
1539117379	d19aab5	559483	0.855	0.145	0.0	0.0	1.0	1.0	0.56	de_CH_frami	Swiss German
1539117379	d19aab5	380890	0.943	0.057	0.0	0.0	1.0	1.0	0.63	de_DE	German
1539117379	d19aab5	559844	0.856	0.144	0.0	0.0	1.0	1.0	0.57	de_DE_frami	German
1539117379	d19aab5	401	0.925	0.075	0.0	0.0	1.0	1.0	1.5	dz	Dzongkha
1539117379	d19aab5	828785	1.0	0.0	0.0	0.0	1.0	1.0	1.39	el_GR	Modern Greek
1539117379	d19aab5	49426	1.0	0.0	0.0	0.0	1.0	1.0	1.48	en_AU	Australian English
1539117379	d19aab5	112517	0.977	0.023	0.0	0.0	1.0	1.0	1.14	en_CA	Canadian English
1539117379	d19aab5	135843	0.882	0.118	0.0	0.0	1.0	1.0	0.99	en_GB	British English
1539117379	d19aab5	112568	0.976	0.024	0.0	0.0	1.0	1.0	1.23	en_US	American English
1539117379	d19aab5	53537	1.0	0.0	0.0	0.0	1.0	1.0	1.44	en_ZA	South African English
1539117379	d19aab5	1015192	1.0	0.0	0.0	0.0	1.0	1.0	0.89	eo	Esperanto
1539117379	d19aab5	96510	0.736	0.264	0.0	0.0	1.0	1.0	0.6	es_ES	Spanish
1539117379	d19aab5	282173	1.0	0.0	0.0	0.0	1.0	1.0	1.22	et_EE	Estonian
1539117379	d19aab5	106346	1.0	0.0	0.0	0.0	1.0	1.0	1.17	eu	Basque
1539117379	d19aab5	331788	1.0	0.0	0.0	0.0	1.0	1.0	1.69	fa_IR	Farsi
1539117379	d19aab5	425136	1.0	0.0	0.0	0.0	1.0	1.0	1.15	fo	Faroese
1539117379	d19aab5	191661	0.996	0.004	0.0	0.0	1.0	1.0	2.24	fr	French
1539117379	d19aab5	65424	0.998	0.002	0.0	0.0	1.0	1.0	1.26	ga_IE	Irish
1539117379	d19aab5	334794	0.992	0.008	0.0	0.0	1.0	1.0	1.56	gd_GB	Scottish Gaelic
